0,32.814924
1,33.112528
2,33.201976
3,36.524448
4,36.470156
5,36.405584
6,36.368872
7,36.39434
8,38.265388
9,38.27588
10,38.240752
11,38.238428
12,38.235624
13,39.81264
14,39.848268
15,39.789384
16,39.818916
17,39.77604
18,39.773508
19,39.716288
20,39.690032
21,39.646936
22,39.533372
23,39.559744
24,39.545852
25,39.484448
26,39.430956
27,39.3473
28,39.264184
29,39.249008
30,39.332224
31,38.795996
32,38.871656
33,38.889412
34,38.856032
35,38.8842
36,38.851808
37,38.799796
38,38.7515
39,38.683184
40,38.417832
41,38.332772
42,38.183856
43,38.162712
44,38.137688
45,37.943944
46,37.85782
47,37.571412
48,37.320936
49,37.448228
50,37.312036
51,37.164296
52,37.011596
53,36.769364
54,36.540616
55,36.569476
56,36.49562
57,36.331684
58,36.108044
59,35.947524
60,35.77582
61,35.568592
62,35.362348
63,35.235432
64,35.017336
65,34.786252
66,34.629964
67,34.449716
68,34.334136
69,34.046232
70,33.988552
71,33.802012
72,33.704936
73,33.568184
74,33.39044
75,30.952188
76,32.227776
77,32.760436
78,32.85918
79,32.86626
80,32.793084
81,32.639896
82,32.573204
83,32.508368
84,32.369328
85,32.306212
86,32.174632
87,32.075664
88,32.04532
89,32.019272
90,31.923652
91,31.789496
92,31.736072
93,31.612264
94,31.575492
95,31.470968
96,31.341264
97,31.211864
98,30.936376
99,30.868824
100,29.111204
